,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Teknāf,50,BD,1586981242,87,20.86,92.31,74.97,3.42
1,Butaritari,96,KI,1586981243,81,3.07,172.79,82.9,17.9
2,Ola,92,RU,1586981243,94,59.58,151.28,20.34,3.47
3,Klaksvík,55,FO,1586981243,80,62.23,-6.59,41.0,19.46
4,Busselton,76,AU,1586981243,62,-33.65,115.33,55.0,6.22
5,Nanortalik,100,GL,1586981243,93,60.14,-45.24,36.25,11.99
6,Ushuaia,20,AR,1586981243,47,-54.8,-68.3,55.4,4.7
7,Saint Paul Harbor,90,US,1586981244,81,57.79,-152.41,44.6,6.93
8,Vaini,75,TO,1586981244,94,-21.2,-175.2,73.4,3.36
9,Rikitea,99,PF,1586981244,72,-23.12,-134.97,76.35,4.61
10,Ko Samui,100,TH,1586981149,71,9.54,99.94,83.62,7.0
11,Leningradskiy,100,RU,1586981244,94,69.38,178.42,16.81,4.85
12,Tuktoyaktuk,40,CA,1586981244,86,69.45,-133.04,26.6,5.82
13,Jamestown,90,US,1586981038,72,42.1,-79.24,39.2,4.7
14,Hermanus,56,ZA,1586980994,91,-34.42,19.23,60.01,2.39
15,Cockburn Town,40,TC,1586981245,70,21.46,-71.14,86.0,16.11
16,Khatanga,0,RU,1586981245,89,71.97,102.5,-9.6,6.35
17,Chui,94,UY,1586981245,72,-33.7,-53.46,64.24,20.62
18,Yellowknife,75,CA,1586981245,73,62.46,-114.35,26.01,6.93
19,Heihe,20,CN,1586981246,63,50.24,127.49,30.2,2.42
20,Qaanaaq,71,GL,1586981003,89,77.48,-69.36,10.33,2.42
21,Hobart,75,AU,1586981085,63,-42.88,147.33,62.6,11.41
22,Ponta do Sol,75,PT,1586981246,77,32.67,-17.1,60.8,10.29
23,East London,24,ZA,1586981246,74,-33.02,27.91,65.14,12.77
24,Esperance,90,AU,1586981247,93,-33.87,121.9,57.2,4.7
25,Aklavik,40,CA,1586981247,64,68.22,-135.01,39.2,2.24
26,Cabo San Lucas,5,MX,1586981247,53,22.89,-109.91,84.0,9.17
27,Iskateley,100,RU,1586981247,94,67.68,53.15,33.4,11.77
28,Saint-Philippe,18,RE,1586981247,69,-21.36,55.77,75.2,6.93
29,Hong Kong,90,HK,1586981169,77,22.29,114.16,70.0,3.36
30,Bluff,56,NZ,1586981248,88,-46.6,168.33,50.0,11.01
31,Bafra,75,TR,1586981248,87,41.57,35.91,48.2,1.12
32,Barcelos,40,PT,1586981248,87,41.54,-8.62,59.0,11.41
33,Mahébourg,40,MU,1586981248,74,-20.41,57.7,78.8,16.11
34,George,91,ZA,1586981248,82,-33.96,22.46,59.0,4.7
35,Lompoc,1,US,1586980995,46,34.64,-120.46,79.0,8.05
36,Hilo,40,US,1586981249,61,19.73,-155.09,79.0,5.82
37,San Cristobal,40,VE,1586981249,49,7.77,-72.22,89.6,10.29
38,Mocuba,0,MZ,1586981249,89,-16.84,36.99,72.82,2.84
39,Fort Nelson,40,CA,1586981249,48,58.81,-122.7,44.6,4.7
40,Tiksi,100,RU,1586981250,91,71.69,128.87,-5.1,9.17
41,North Bend,75,US,1586981250,81,43.41,-124.22,62.01,11.41
42,Bilibino,100,RU,1586981250,84,68.05,166.44,9.37,2.62
43,Kaitangata,26,NZ,1586981250,66,-46.28,169.85,51.01,8.01
44,Kavieng,100,PG,1586981250,71,-2.57,150.8,82.4,1.1
45,Menongue,74,AO,1586981251,50,-14.66,17.69,65.25,1.3
46,Callaway,40,US,1586981251,40,30.15,-85.57,71.6,13.87
47,Avarua,92,CK,1586981251,69,-21.21,-159.78,80.6,4.7
48,Alexandria,7,EG,1586981038,49,31.22,29.96,69.8,4.7
49,Cherskiy,92,RU,1586981251,91,68.75,161.3,2.52,4.05
50,Carlsbad,1,US,1586981169,53,33.16,-117.35,81.0,10.29
51,Naze,70,JP,1586981251,63,28.37,129.48,64.4,11.41
52,Bathsheba,20,BB,1586981252,58,13.22,-59.52,86.0,16.11
53,The Valley,40,AI,1586980987,61,18.22,-63.06,87.8,12.75
54,Mnogovershinnyy,0,RU,1586981252,89,53.94,139.92,25.3,4.29
55,Maltahöhe,0,NA,1586981252,15,-24.83,16.98,62.08,9.37
56,Ürümqi,100,CN,1586981252,58,43.8,87.6,59.0,8.95
57,Shingū,100,JP,1586981253,49,33.73,135.98,53.87,5.53
58,São João da Barra,96,BR,1586981253,62,-21.64,-41.05,86.0,9.17
59,Chokurdakh,100,RU,1586981253,89,70.63,147.92,-6.81,7.72
60,Kapaa,40,US,1586981253,78,22.08,-159.32,78.8,11.41
61,Karratha,82,AU,1586981253,71,-20.74,116.85,81.41,8.43
62,Tahoua,53,NE,1586981253,9,14.89,5.27,86.88,10.71
63,Puerto Ayora,40,EC,1586981253,66,-0.74,-90.35,86.0,19.46
64,Sitka,90,US,1586981254,93,57.05,-135.33,44.6,4.7
65,Saint-Augustin,26,CA,1586981254,83,51.23,-58.65,34.25,15.99
66,Hofn,20,IS,1586981254,45,64.25,-15.21,44.6,11.41
67,Areia Branca,90,BR,1586981027,80,-4.96,-37.14,80.15,8.08
68,Yamachiche,90,CA,1586981254,64,46.27,-72.83,41.0,6.93
69,Letpadan,98,MM,1586981255,81,17.78,95.75,71.67,0.38
70,Valréas,0,FR,1586981255,54,44.38,4.99,59.0,5.82
71,Zaysan,100,KZ,1586981255,61,47.47,84.87,45.45,4.29
72,Asău,4,RO,1586981255,49,46.43,26.4,48.2,1.12
73,Lebu,97,CL,1586981255,67,-37.62,-73.65,60.39,8.84
74,Port Alfred,3,ZA,1586981256,94,-33.59,26.89,61.0,1.99
75,New Norfolk,75,AU,1586981256,63,-42.78,147.06,62.6,11.41
76,Punta Arenas,91,CL,1586981101,50,-53.15,-70.92,57.2,2.24
77,Belyy Yar,97,RU,1586981256,61,53.6,91.39,50.0,6.71
